Date,00 Live animals (excl. fish),01 Meat and meat preparations,02 Dairy products and birds’ eggs,03 Fish (excl. marine mammals),04 Cereals and cereal preparations,05 Vegetables and fruit,"06 Sugars, sugar preparations and honey","07 Coffee, tea, cocoa, spices",08 Feeding stuff for animals,09 Miscellaneous edible products
Jan-88,30.0,184.0,45.0,55.0,232.0,38.0,38.0,4.0,30.0,5.0
Feb-88,26.0,188.0,52.0,49.0,244.0,70.0,45.0,5.0,27.0,8.0
Mar-88,31.0,285.0,48.0,70.0,170.0,72.0,69.0,6.0,18.0,8.0
Apr-88,25.0,196.0,40.0,72.0,119.0,54.0,71.0,4.0,18.0,7.0
May-88,25.0,220.0,44.0,74.0,175.0,58.0,65.0,6.0,24.0,8.0
Jun-88,26.0,181.0,58.0,58.0,151.0,34.0,60.0,5.0,14.0,7.0
Jul-88,32.0,170.0,22.0,58.0,128.0,44.0,69.0,5.0,17.0,8.0
Aug-88,28.0,171.0,26.0,36.0,196.0,52.0,105.0,6.0,22.0,9.0
Sep-88,27.0,215.0,35.0,47.0,134.0,38.0,136.0,6.0,16.0,8.0
Oct-88,30.0,219.0,51.0,34.0,159.0,52.0,63.0,8.0,17.0,8.0
Nov-88,24.0,199.0,45.0,37.0,160.0,47.0,68.0,7.0,19.0,7.0
Dec-88,18.0,195.0,63.0,73.0,203.0,45.0,70.0,6.0,51.0,8.0
Jan-89,19.0,120.0,49.0,38.0,201.0,30.0,49.0,3.0,27.0,6.0
Feb-89,17.0,150.0,41.0,38.0,248.0,38.0,23.0,4.0,20.0,7.0
Mar-89,33.0,215.0,51.0,59.0,266.0,47.0,110.0,5.0,23.0,8.0
Apr-89,27.0,187.0,42.0,56.0,363.0,46.0,78.0,5.0,20.0,9.0
May-89,24.0,228.0,74.0,71.0,384.0,45.0,94.0,7.0,17.0,12.0
Jun-89,19.0,206.0,96.0,62.0,386.0,53.0,68.0,5.0,28.0,8.0
Jul-89,28.0,226.0,29.0,65.0,235.0,40.0,139.0,6.0,27.0,8.0
Aug-89,23.0,259.0,37.0,53.0,275.0,50.0,149.0,8.0,18.0,8.0
Sep-89,12.0,248.0,43.0,41.0,191.0,43.0,115.0,5.0,20.0,7.0
Oct-89,16.0,255.0,53.0,42.0,207.0,37.0,126.0,6.0,23.0,6.0
Nov-89,12.0,292.0,77.0,56.0,221.0,33.0,92.0,6.0,19.0,9.0
Dec-89,14.0,253.0,90.0,65.0,228.0,52.0,85.0,5.0,25.0,9.0
Jan-90,10.0,180.0,76.0,49.0,343.0,38.0,44.0,3.0,17.0,8.0
Feb-90,19.0,236.0,61.0,51.0,363.0,37.0,70.0,5.0,23.0,7.0
Mar-90,14.0,275.0,54.0,72.0,406.0,54.0,107.0,5.0,22.0,8.0
Apr-90,19.0,208.0,55.0,52.0,309.0,54.0,62.0,6.0,20.0,10.0
May-90,14.0,252.0,63.0,60.0,282.0,47.0,96.0,7.0,24.0,11.0
Jun-90,11.0,259.0,71.0,69.0,241.0,51.0,17.0,6.0,17.0,9.0
Jul-90,16.0,285.0,39.0,63.0,216.0,51.0,134.0,8.0,19.0,8.0
Aug-90,10.0,250.0,37.0,44.0,174.0,45.0,206.0,7.0,17.0,10.0
Sep-90,15.0,275.0,46.0,39.0,172.0,45.0,104.0,9.0,17.0,9.0
Oct-90,14.0,285.0,49.0,50.0,179.0,55.0,118.0,8.0,14.0,8.0
Nov-90,13.0,271.0,67.0,53.0,162.0,48.0,75.0,11.0,23.0,8.0
Dec-90,8.0,314.0,58.0,74.0,167.0,56.0,68.0,7.0,25.0,9.0
Jan-91,7.0,165.0,82.0,58.0,183.0,59.0,57.0,5.0,29.0,7.0
