Date,00 Live animals (excl. fish),01 Meat and meat preparations,02 Dairy products and birds’ eggs,03 Fish (excl. marine mammals),04 Cereals and cereal preparations,05 Vegetables and fruit,"06 Sugars, sugar preparations and honey","07 Coffee, tea, cocoa, spices",08 Feeding stuff for animals,09 Miscellaneous edible products
440,440,440,440,440,440,440,440,440,440,440
122,4,2,5,41,4,23,3,28,3,9
182,45,1,10,41,5,29,3,31,4,13
158,12,1,8,41,6,25,3,39,3,19
125,13,3,6,25,5,19,3,27,4,21
137,11,2,6,28,6,24,4,37,5,13
126,10,4,9,23,6,23,2,34,3,13
135,6,3,8,28,6,25,4,31,8,16
146,22,3,9,25,7,24,3,33,6,13
111,7,2,7,28,7,23,3,23,4,8
147,5,1,8,35,7,31,3,30,5,22
168,4,1,8,47,7,37,4,28,7,25
131,15,2,6,44,3,29,2,18,8,5
179,8,3,7,50,6,40,5,33,6,21
195,36,4,6,43,5,42,5,29,5,22
153,9,3,8,41,6,30,4,26,6,19
149,15,3,7,34,5,28,3,27,7,19
180,21,4,9,35,7,35,4,39,6,21
139,8,3,8,28,7,32,4,35,5,9
148,12,3,6,29,7,31,3,32,8,16
181,16,2,10,31,10,33,4,38,4,33
142,11,1,7,29,10,29,4,27,4,19
161,6,1,8,41,10,36,4,28,7,19
168,5,2,12,43,8,47,5,25,5,16
134,4,1,8,37,5,35,4,18,4,19
197,32,2,9,43,5,43,5,27,7,24
140,9,1,8,35,6,35,3,22,4,17
168,20,2,9,36,7,32,4,30,5,24
137,8,1,7,35,8,29,4,25,5,13
182,11,3,11,36,8,35,5,31,10,33
138,6,2,10,30,8,29,5,28,6,14
150,6,1,10,32,9,30,5,29,3,23
168,13,2,10,33,12,29,6,31,6,27
145,7,1,8,31,12,28,6,25,5,23
159,4,3,12,40,11,31,6,31,6,16
175,3,6,11,43,9,34,7,19,6,36
155,2,4,10,44,6,33,5,18,6,28
185,13,3,10,45,7,35,6,31,4,31
147,7,4,11,34,6,30,3,25,5,23
151,8,4,11,33,7,30,4,24,3,28
167,2,3,10,38,8,36,5,25,6,33
166,6,4,10,39,9,34,5,30,6,25
148,2,4,11,34,8,33,4,22,11,22
159,4,4,12,35,10,33,4,28,8,22
