Country,Export_US$_Thousand,Total
Aruba,1525860.76,24227432525.89
Afghanistan,5916036.0,24227432525.89
Angola,12653996.54,24227432525.89
Anguila,236304.03,24227432525.89
Albania,12076545.76,24227432525.89
Andorra,3080441.42,24227432525.89
United Arab Emirates,269772885.5,24227432525.89
Argentina,65386155.68,24227432525.89
Armenia,5013378.9,24227432525.89
American Samoa,154593.45,24227432525.89
Antarctica,103139.22,24227432525.89
Fr. S. Antarctic Lands,60342.62,24227432525.89
Antigua and Barbuda,1671451.25,24227432525.89
Australia,279420552.8,24227432525.89
Austria,198504368.7,24227432525.89
Azerbaijan,12656531.81,24227432525.89
Br. Antr. Terr,2.4,24227432525.89
Burundi,743517.64,24227432525.89
Belgium,464825537.1,24227432525.89
Benin,5297109.63,24227432525.89
Bonaire,780388.62,24227432525.89
Burkina Faso,3767305.57,24227432525.89
Bangladesh,80568124.28,24227432525.89
Bulgaria,45462924.71,24227432525.89
Bahrain,18033386.04,24227432525.89
Bahamas,8844311.53,24227432525.89
Bosnia and Herz.,19007894.83,24227432525.89
Saint Barthélemy,90588.95,24227432525.89
Belarus,46327623.82,24227432525.89
Belize,1437323.04,24227432525.89
Bermuda,2420565.78,24227432525.89
Bolivia,7431946.42,24227432525.89
Brazil,259319343.5,24227432525.89
Barbados,2033698.44,24227432525.89
Brunei,5952745.83,24227432525.89
Bhutan,1143520.99,24227432525.89
Bunkers,44275867.58,24227432525.89
Bouvet Island,1417.45,24227432525.89
Botswana,7327565.19,24227432525.89
Central African Rep.,406990.0,24227432525.89
Canada,529223309.5,24227432525.89
Cocos (Keeling) Islands,12111.82,24227432525.89
Switzerland,506450948.0,24227432525.89
Chile,98636407.29,24227432525.89
China,2419607092.0,24227432525.89
Côte d'Ivoire,18188528.34,24227432525.89
Cameroon,9951558.77,24227432525.89
Congo,3733599.92,24227432525.89
Cook Islands,205170.48,24227432525.89
Colombia,66615595.42,24227432525.89
Comoros,449904.14,24227432525.89
Cape Verde,1478706.54,24227432525.89
Costa Rica,18612406.36,24227432525.89
Cuba,5603283.72,24227432525.89
Curaçao,1440137.13,24227432525.89
Christmas Island,36059.78,24227432525.89
Cayman Islands,10903184.58,24227432525.89
Cyprus,15469975.31,24227432525.89
Czechia,187704391.6,24227432525.89
Germany,1353626273.0,24227432525.89
Djibouti,8575241.0,24227432525.89
Dominica,714511.27,24227432525.89
Denmark,115774658.8,24227432525.89
Dominican Rep.,25719477.58,24227432525.89
Algeria,51503438.6,24227432525.89
Ecuador,25064370.93,24227432525.89
Egypt,121503620.0,24227432525.89
Eritrea,364390.13,24227432525.89
W. Sahara,37809.57,24227432525.89
Spain,381128434.5,24227432525.89
Estonia,25773935.95,24227432525.89
Ethiopia,9895243.06,24227432525.89
Finland,81407267.8,24227432525.89
Fiji,2119389.86,24227432525.89
Falkland Is.,201719.43,24227432525.89
France,683817002.8,24227432525.89
Free Zones,2812921.58,24227432525.89
Faeroe Islands,2362807.08,24227432525.89
"Micronesia, Fed. Sts.",135308.71,24227432525.89
Gabon,3039269.67,24227432525.89
United Kingdom,1010705115.0,24227432525.89
Georgia,12432700.47,24227432525.89
Ghana,24059892.82,24227432525.89
Gibraltar,15420639.54,24227432525.89
Guinea,6298034.46,24227432525.89
Gambia,1879234.32,24227432525.89
Guinea-Bissau,594585.14,24227432525.89
Eq. Guinea,1211491.76,24227432525.89
Greece,72209036.25,24227432525.89
