,0,1,2,3,4,5,6,7,8,9
Jan-88,30,184,45,55,232,38,38,4,30,5
Feb-88,26,188,52,49,244,70,45,5,27,8
Mar-88,31,285,48,70,170,72,69,6,18,8
Apr-88,25,196,40,72,119,54,71,4,18,7
May-88,25,220,44,74,175,58,65,6,24,8
Jun-88,26,181,58,58,151,34,60,5,14,7
Jul-88,32,170,22,58,128,44,69,5,17,8
Aug-88,28,171,26,36,196,52,105,6,22,9
Sep-88,27,215,35,47,134,38,136,6,16,8
Oct-88,30,219,51,34,159,52,63,8,17,8
Nov-88,24,199,45,37,160,47,68,7,19,7
Dec-88,18,195,63,73,203,45,70,6,51,8
Jan-89,19,120,49,38,201,30,49,3,27,6
Feb-89,17,150,41,38,248,38,23,4,20,7
Mar-89,33,215,51,59,266,47,110,5,23,8
Apr-89,27,187,42,56,363,46,78,5,20,9
May-89,24,228,74,71,384,45,94,7,17,12
Jun-89,19,206,96,62,386,53,68,5,28,8
Jul-89,28,226,29,65,235,40,139,6,27,8
Aug-89,23,259,37,53,275,50,149,8,18,8
Sep-89,12,248,43,41,191,43,115,5,20,7
Oct-89,16,255,53,42,207,37,126,6,23,6
Nov-89,12,292,77,56,221,33,92,6,19,9
Dec-89,14,253,90,65,228,52,85,5,25,9
Jan-90,10,180,76,49,343,38,44,3,17,8
Feb-90,19,236,61,51,363,37,70,5,23,7
Mar-90,14,275,54,72,406,54,107,5,22,8
Apr-90,19,208,55,52,309,54,62,6,20,10
May-90,14,252,63,60,282,47,96,7,24,11
Jun-90,11,259,71,69,241,51,17,6,17,9
Jul-90,16,285,39,63,216,51,134,8,19,8
Aug-90,10,250,37,44,174,45,206,7,17,10
Sep-90,15,275,46,39,172,45,104,9,17,9
Oct-90,14,285,49,50,179,55,118,8,14,8
Nov-90,13,271,67,53,162,48,75,11,23,8
Dec-90,8,314,58,74,167,56,68,7,25,9
Jan-91,7,165,82,58,183,59,57,5,29,7
Feb-91,11,247,66,49,187,41,50,6,20,9
Mar-91,20,259,71,63,308,62,40,7,23,11
Apr-91,17,244,71,70,233,48,54,6,26,14
May-91,17,289,68,87,254,63,22,7,25,10
Jun-91,11,295,67,68,203,57,20,7,19,10
Jul-91,16,292,46,56,227,58,104,7,31,10
Aug-91,15,279,46,42,175,51,146,10,18,11
Sep-91,18,282,54,41,128,54,113,9,15,10
Oct-91,19,285,67,53,180,51,71,9,28,15
Nov-91,11,310,76,60,150,53,51,10,28,14
Dec-91,20,292,79,92,183,54,37,9,42,14
Jan-92,13,192,65,78,188,51,60,6,34,8
Feb-92,19,279,77,64,226,74,47,8,39,13
Mar-92,24,298,66,105,281,78,35,8,34,11
Apr-92,16,317,80,84,247,62,25,8,25,13
May-92,16,347,89,86,192,73,19,7,39,14
Jun-92,22,262,71,71,176,68,38,7,24,12
Jul-92,19,309,52,79,185,70,105,10,22,10
Aug-92,18,280,58,58,139,80,122,11,34,13
Sep-92,20,343,71,64,150,76,105,11,33,12
Oct-92,17,355,99,69,215,68,138,13,29,12
Nov-92,20,334,120,67,236,60,86,13,41,11
Dec-92,22,353,109,88,214,65,108,10,51,12
Jan-93,16,219,85,82,356,52,66,9,48,9
Feb-93,17,278,88,85,308,93,58,11,37,12
Mar-93,31,283,87,78,296,100,92,10,47,13
Apr-93,22,282,95,101,308,72,81,9,43,12
May-93,20,357,118,97,313,67,50,9,35,14
Jun-93,23,352,120,83,234,70,61,10,47,14
Jul-93,21,385,71,100,187,88,140,9,29,12
Aug-93,26,327,70,75,207,82,165,11,23,13
Sep-93,28,354,83,71,189,69,158,13,23,14
Oct-93,27,396,103,83,214,83,168,18,30,15
Nov-93,28,380,113,84,232,67,124,19,33,14
Dec-93,30,345,136,119,258,69,47,18,35,19
Jan-94,23,250,128,81,276,80,122,11,34,14
Feb-94,28,276,116,67,389,93,91,14,29,16
Mar-94,29,347,138,116,364,80,54,15,44,18
Apr-94,27,308,94,110,298,74,65,11,36,20
May-94,23,375,128,114,308,77,87,13,37,23
Jun-94,33,300,106,94,282,70,94,13,33,16
Jul-94,35,307,83,84,295,91,215,15,31,16
Aug-94,27,291,88,66,286,76,230,12,31,17
Sep-94,26,327,91,62,226,72,179,17,28,15
Oct-94,29,370,134,88,222,77,212,18,31,18
Nov-94,41,359,156,94,209,71,204,18,35,16
Dec-94,38,289,161,116,185,65,119,16,34,18
Jan-95,41,230,118,83,152,54,92,9,28,14
Feb-95,40,265,132,79,190,59,81,15,31,18
Mar-95,40,321,131,120,225,76,102,13,34,20
Apr-95,48,302,99,118,143,78,129,12,39,19
May-95,45,301,114,130,212,74,100,14,33,19
Jun-95,42,298,107,105,177,81,66,14,32,19
Jul-95,59,329,90,117,173,95,235,17,35,18
Aug-95,60,266,81,78,180,94,240,15,35,17
Sep-95,51,293,107,70,194,85,249,18,33,21
Oct-95,49,306,144,77,223,79,244,20,35,20
Nov-95,46,308,181,80,283,67,187,17,35,20
Dec-95,55,320,191,103,537,79,152,17,42,18
Jan-96,49,209,143,90,600,97,122,14,36,17
Feb-96,53,245,135,92,603,73,43,16,40,18
Mar-96,60,318,147,106,600,91,56,16,45,20
Apr-96,56,241,144,101,537,81,85,13,42,21
May-96,68,245,156,111,567,78,41,16,43,21
Jun-96,53,218,155,91,430,89,57,16,38,19
Jul-96,57,227,109,78,378,106,267,15,44,21
Aug-96,53,212,129,67,389,99,289,17,43,22
Sep-96,52,208,135,63,356,112,201,21,42,22
Oct-96,55,250,153,74,378,92,235,17,43,24
Nov-96,48,277,176,74,349,78,152,20,41,26
Dec-96,55,242,178,103,574,88,101,15,43,22
Jan-97,59,186,126,97,657,81,94,11,41,19
Feb-97,55,251,157,87,685,78,86,16,45,27
Mar-97,59,258,141,108,685,105,57,16,51,25
Apr-97,65,283,144,116,567,95,55,12,45,24
May-97,73,292,164,120,470,109,92,16,52,28
Jun-97,73,271,147,99,466,103,65,14,42,23
Jul-97,71,294,110,104,340,111,236,15,47,25
Aug-97,64,296,115,85,398,101,225,17,44,26
Sep-97,69,293,136,82,401,100,249,22,47,25
Oct-97,46,344,169,94,385,102,256,20,44,29
Nov-97,51,332,209,95,439,79,228,17,48,28
Dec-97,58,342,216,116,549,92,80,17,52,24
Jan-98,48,220,156,100,519,90,10,11,39,19
Feb-98,50,302,153,74,421,78,12,14,44,24
Mar-98,37,334,158,98,386,98,13,14,45,29
Apr-98,36,274,140,107,454,80,9,9,38,23
May-98,51,358,177,124,378,97,11,12,49,27
Jun-98,52,342,170,96,427,105,11,14,43,24
Jul-98,33,339,159,112,320,114,21,15,44,23
Aug-98,38,313,156,106,483,104,16,17,50,23
Sep-98,56,365,197,105,429,96,22,17,46,26
Oct-98,54,349,219,75,310,94,17,19,49,27
Nov-98,51,352,226,72,360,90,20,18,50,29
Dec-98,61,363,231,109,530,89,18,16,48,27
Jan-99,57,226,160,107,568,76,8,13,46,23
Feb-99,49,329,152,83,400,87,10,16,41,26
Mar-99,59,374,191,104,451,99,18,16,62,27
Apr-99,58,332,185,123,411,95,10,14,53,28
May-99,58,336,174,126,327,98,16,16,56,29
Jun-99,41,329,176,99,413,100,8,13,52,30
Jul-99,73,359,147,114,354,124,13,16,59,29
Aug-99,58,349,161,159,366,120,19,18,50,25
Sep-99,52,361,169,125,389,112,13,21,52,32
Oct-99,65,379,232,99,378,101,22,23,53,31
Nov-99,61,394,252,98,350,95,13,23,51,33
Dec-99,67,395,210,150,475,85,14,24,51,31
Jan-00,63,218,181,118,374,104,8,15,51,19
Feb-00,58,359,214,99,530,104,18,21,57,28
Mar-00,61,411,230,140,492,124,12,20,61,31
Apr-00,61,384,194,147,427,116,11,17,98,35
May-00,65,436,213,150,432,104,18,17,73,37
Jun-00,50,424,182,137,374,117,12,20,96,38
Jul-00,71,444,175,150,400,138,25,24,87,30
Aug-00,52,423,171,205,447,148,24,24,83,38
Sep-00,75,441,227,160,464,123,20,23,83,33
Oct-00,81,534,317,114,498,118,25,28,90,41
Nov-00,72,496,326,125,519,130,14,24,91,41
Dec-00,89,468,294,145,449,134,22,24,107,44
Jan-01,60,299,253,128,406,126,10,13,68,26
Feb-01,77,446,259,99,499,111,12,16,91,33
Mar-01,83,566,250,124,583,118,14,17,91,43
Apr-01,60,531,229,127,566,125,15,17,97,35
May-01,72,545,248,170,641,114,12,22,84,44
Jun-01,78,603,224,172,466,125,26,19,76,34
