date,subcode,exports,code
01/01/1988,00,30,0
02/01/1988,00,26,0
03/01/1988,00,31,0
04/01/1988,00,25,0
05/01/1988,00,25,0
06/01/1988,00,26,0
07/01/1988,00,32,0
08/01/1988,00,28,0
09/01/1988,00,27,0
10/01/1988,00,30,0
11/01/1988,00,24,0
12/01/1988,00,18,0
01/01/1989,00,19,0
02/01/1989,00,17,0
03/01/1989,00,33,0
04/01/1989,00,27,0
05/01/1989,00,24,0
06/01/1989,00,19,0
07/01/1989,00,28,0
08/01/1989,00,23,0
09/01/1989,00,12,0
10/01/1989,00,16,0
11/01/1989,00,12,0
12/01/1989,00,14,0
01/01/1990,00,10,0
02/01/1990,00,19,0
03/01/1990,00,14,0
04/01/1990,00,19,0
05/01/1990,00,14,0
06/01/1990,00,11,0
07/01/1990,00,16,0
08/01/1990,00,10,0
09/01/1990,00,15,0
10/01/1990,00,14,0
11/01/1990,00,13,0
12/01/1990,00,8,0
01/01/1991,00,7,0
02/01/1991,00,11,0
03/01/1991,00,20,0
04/01/1991,00,17,0
05/01/1991,00,17,0
06/01/1991,00,11,0
07/01/1991,00,16,0
08/01/1991,00,15,0
09/01/1991,00,18,0
10/01/1991,00,19,0
11/01/1991,00,11,0
12/01/1991,00,20,0
01/01/1992,00,13,0
02/01/1992,00,19,0
03/01/1992,00,24,0
04/01/1992,00,16,0
05/01/1992,00,16,0
06/01/1992,00,22,0
07/01/1992,00,19,0
08/01/1992,00,18,0
09/01/1992,00,20,0
10/01/1992,00,17,0
11/01/1992,00,20,0
12/01/1992,00,22,0
01/01/1993,00,16,0
02/01/1993,00,17,0
03/01/1993,00,31,0
04/01/1993,00,22,0
05/01/1993,00,20,0
06/01/1993,00,23,0
07/01/1993,00,21,0
08/01/1993,00,26,0
09/01/1993,00,28,0
10/01/1993,00,27,0
11/01/1993,00,28,0
12/01/1993,00,30,0
01/01/1994,00,23,0
02/01/1994,00,28,0
03/01/1994,00,29,0
04/01/1994,00,27,0
05/01/1994,00,23,0
06/01/1994,00,33,0
07/01/1994,00,35,0
08/01/1994,00,27,0
09/01/1994,00,26,0
10/01/1994,00,29,0
11/01/1994,00,41,0
12/01/1994,00,38,0
01/01/1995,00,41,0
02/01/1995,00,40,0
03/01/1995,00,40,0
04/01/1995,00,48,0
05/01/1995,00,45,0
06/01/1995,00,42,0
07/01/1995,00,59,0
08/01/1995,00,60,0
09/01/1995,00,51,0
10/01/1995,00,49,0
11/01/1995,00,46,0
12/01/1995,00,55,0
01/01/1996,00,49,0
02/01/1996,00,53,0
03/01/1996,00,60,0
04/01/1996,00,56,0
05/01/1996,00,68,0
06/01/1996,00,53,0
07/01/1996,00,57,0
08/01/1996,00,53,0
09/01/1996,00,52,0
10/01/1996,00,55,0
11/01/1996,00,48,0
12/01/1996,00,55,0
01/01/1997,00,59,0
02/01/1997,00,55,0
03/01/1997,00,59,0
04/01/1997,00,65,0
05/01/1997,00,73,0
06/01/1997,00,73,0
07/01/1997,00,71,0
08/01/1997,00,64,0
09/01/1997,00,69,0
10/01/1997,00,46,0
11/01/1997,00,51,0
12/01/1997,00,58,0
01/01/1998,00,48,0
02/01/1998,00,50,0
03/01/1998,00,37,0
04/01/1998,00,36,0
05/01/1998,00,51,0
06/01/1998,00,52,0
07/01/1998,00,33,0
08/01/1998,00,38,0
09/01/1998,00,56,0
10/01/1998,00,54,0
11/01/1998,00,51,0
12/01/1998,00,61,0
01/01/1999,00,57,0
02/01/1999,00,49,0
03/01/1999,00,59,0
04/01/1999,00,58,0
05/01/1999,00,58,0
06/01/1999,00,41,0
07/01/1999,00,73,0
08/01/1999,00,58,0
09/01/1999,00,52,0
10/01/1999,00,65,0
11/01/1999,00,61,0
12/01/1999,00,67,0
01/01/2000,00,63,0
02/01/2000,00,58,0
03/01/2000,00,61,0
04/01/2000,00,61,0
05/01/2000,00,65,0
06/01/2000,00,50,0
07/01/2000,00,71,0
08/01/2000,00,52,0
09/01/2000,00,75,0
10/01/2000,00,81,0
11/01/2000,00,72,0
12/01/2000,00,89,0
01/01/2001,00,60,0
02/01/2001,00,77,0
03/01/2001,00,83,0
04/01/2001,00,60,0
05/01/2001,00,72,0
06/01/2001,00,78,0
07/01/2001,00,91,0
08/01/2001,00,78,0
09/01/2001,00,104,0
10/01/2001,00,98,0
11/01/2001,00,118,0
12/01/2001,00,111,0
01/01/2002,00,80,0
02/01/2002,00,91,0
03/01/2002,00,79,0
04/01/2002,00,74,0
05/01/2002,00,100,0
06/01/2002,00,89,0
07/01/2002,00,90,0
08/01/2002,00,88,0
09/01/2002,00,121,0
10/01/2002,00,110,0
11/01/2002,00,134,0
12/01/2002,00,112,0
01/01/2003,00,130,0
02/01/2003,00,80,0
03/01/2003,00,67,0
04/01/2003,00,85,0
05/01/2003,00,81,0
06/01/2003,00,71,0
07/01/2003,00,81,0
08/01/2003,00,76,0
09/01/2003,00,69,0
10/01/2003,00,74,0
11/01/2003,00,73,0
12/01/2003,00,82,0
01/01/2004,00,72,0
02/01/2004,00,46,0
03/01/2004,00,55,0
04/01/2004,00,58,0
05/01/2004,00,99,0
06/01/2004,00,79,0
07/01/2004,00,54,0
08/01/2004,00,74,0
09/01/2004,00,83,0
10/01/2004,00,68,0
11/01/2004,00,68,0
12/01/2004,00,73,0
01/01/2005,00,70,0
02/01/2005,00,62,0
03/01/2005,00,55,0
04/01/2005,00,69,0
05/01/2005,00,57,0
06/01/2005,00,58,0
07/01/2005,00,61,0
08/01/2005,00,73,0
09/01/2005,00,81,0
10/01/2005,00,61,0
11/01/2005,00,84,0
12/01/2005,00,86,0
01/01/2006,00,64,0
02/01/2006,00,46,0
03/01/2006,00,74,0
04/01/2006,00,51,0
05/01/2006,00,81,0
06/01/2006,00,76,0
07/01/2006,00,75,0
08/01/2006,00,87,0
09/01/2006,00,87,0
10/01/2006,00,77,0
11/01/2006,00,81,0
12/01/2006,00,82,0
01/01/2007,00,82,0
02/01/2007,00,58,0
03/01/2007,00,86,0
04/01/2007,00,62,0
05/01/2007,00,77,0
06/01/2007,00,101,0
07/01/2007,00,74,0
08/01/2007,00,105,0
09/01/2007,00,53,0
10/01/2007,00,83,0
11/01/2007,00,80,0
12/01/2007,00,67,0
01/01/2008,00,75,0
02/01/2008,00,83,0
03/01/2008,00,81,0
04/01/2008,00,94,0
05/01/2008,00,77,0
06/01/2008,00,71,0
07/01/2008,00,86,0
08/01/2008,00,112,0
09/01/2008,00,94,0
10/01/2008,00,103,0
11/01/2008,00,117,0
12/01/2008,00,126,0
01/01/2009,00,64,0
02/01/2009,00,85,0
03/01/2009,00,103,0
04/01/2009,00,86,0
05/01/2009,00,100,0
06/01/2009,00,88,0
07/01/2009,00,106,0
08/01/2009,00,87,0
09/01/2009,00,113,0
10/01/2009,00,94,0
11/01/2009,00,112,0
12/01/2009,00,113,0
01/01/2010,00,88,0
02/01/2010,00,93,0
03/01/2010,00,99,0
04/01/2010,00,88,0
05/01/2010,00,73,0
06/01/2010,00,91,0
07/01/2010,00,99,0
08/01/2010,00,123,0
09/01/2010,00,67,0
10/01/2010,00,127,0
11/01/2010,00,81,0
12/01/2010,00,116,0
01/01/2011,00,57,0
02/01/2011,00,77,0
03/01/2011,00,84,0
04/01/2011,00,92,0
05/01/2011,00,128,0
06/01/2011,00,69,0
07/01/2011,00,74,0
08/01/2011,00,66,0
09/01/2011,00,118,0
10/01/2011,00,109,0
11/01/2011,00,99,0
12/01/2011,00,99,0
01/01/2012,00,81,0
02/01/2012,00,86,0
03/01/2012,00,57,0
04/01/2012,00,128,0
05/01/2012,00,85,0
06/01/2012,00,104,0
07/01/2012,00,64,0
08/01/2012,00,86,0
09/01/2012,00,89,0
10/01/2012,00,79,0
11/01/2012,00,69,0
12/01/2012,00,121,0
01/01/2013,00,85,0
02/01/2013,00,62,0
03/01/2013,00,53,0
04/01/2013,00,63,0
05/01/2013,00,98,0
06/01/2013,00,87,0
07/01/2013,00,55,0
08/01/2013,00,82,0
09/01/2013,00,79,0
10/01/2013,00,138,0
11/01/2013,00,92,0
12/01/2013,00,142,0
01/01/2014,00,93,0
02/01/2014,00,99,0
03/01/2014,00,126,0
04/01/2014,00,195,0
05/01/2014,00,145,0
06/01/2014,00,125,0
07/01/2014,00,132,0
08/01/2014,00,122,0
09/01/2014,00,139,0
10/01/2014,00,115,0
11/01/2014,00,126,0
12/01/2014,00,200,0
01/01/2015,00,124,0
02/01/2015,00,135,0
03/01/2015,00,108,0
04/01/2015,00,200,0
05/01/2015,00,184,0
06/01/2015,00,170,0
07/01/2015,00,173,0
08/01/2015,00,151,0
09/01/2015,00,159,0
10/01/2015,00,162,0
11/01/2015,00,182,0
12/01/2015,00,149,0
01/01/2016,00,159,0
02/01/2016,00,151,0
03/01/2016,00,183,0
04/01/2016,00,183,0
05/01/2016,00,155,0
06/01/2016,00,170,0
07/01/2016,00,168,0
08/01/2016,00,162,0
09/01/2016,00,83,0
10/01/2016,00,130,0
11/01/2016,00,138,0
12/01/2016,00,192,0
01/01/2017,00,129,0
02/01/2017,00,97,0
03/01/2017,00,130,0
04/01/2017,00,134,0
05/01/2017,00,134,0
06/01/2017,00,121,0
07/01/2017,00,131,0
08/01/2017,00,153,0
09/01/2017,00,132,0
10/01/2017,00,151,0
11/01/2017,00,159,0
12/01/2017,00,147,0
01/01/2018,00,117,0
02/01/2018,00,135,0
03/01/2018,00,144,0
04/01/2018,00,155,0
05/01/2018,00,166,0
06/01/2018,00,130,0
07/01/2018,00,127,0
08/01/2018,00,159,0
09/01/2018,00,143,0
10/01/2018,00,181,0
11/01/2018,00,180,0
12/01/2018,00,188,0
01/01/2019,00,155,0
02/01/2019,00,157,0
03/01/2019,00,158,0
04/01/2019,00,145,0
05/01/2019,00,197,0
06/01/2019,00,167,0
07/01/2019,00,172,0
08/01/2019,00,168,0
09/01/2019,00,181,0
10/01/2019,00,169,0
11/01/2019,00,215,0
12/01/2019,00,242,0
01/01/2020,00,164,0
02/01/2020,00,183,0
03/01/2020,00,176,0
04/01/2020,00,171,0
05/01/2020,00,201,0
06/01/2020,00,189,0
07/01/2020,00,114,0
08/01/2020,00,134,0
09/01/2020,00,143,0
10/01/2020,00,183,0
11/01/2020,00,115,0
12/01/2020,00,176,0
01/01/2021,00,156,0
