,0,1,2,3,4,5,6,7,8,9,
Jan-88,4,2,5,41,4,23,3,28,3,9,
Feb-88,45,1,10,41,5,29,3,31,4,13,
Mar-88,12,1,8,41,6,25,3,39,3,19,
Apr-88,13,3,6,25,5,19,3,27,4,21,
May-88,11,2,6,28,6,24,4,37,5,13,
Jun-88,10,4,9,23,6,23,2,34,3,13,
Jul-88,6,3,8,28,6,25,4,31,8,16,
Aug-88,22,3,9,25,7,24,3,33,6,13,
Sep-88,7,2,7,28,7,23,3,23,4,8,
Oct-88,5,1,8,35,7,31,3,30,5,22,
Nov-88,4,1,8,47,7,37,4,28,7,25,
Dec-88,15,2,6,44,3,29,2,18,8,5,
Jan-89,8,3,7,50,6,40,5,33,6,21,
Feb-89,36,4,6,43,5,42,5,29,5,22,
Mar-89,9,3,8,41,6,30,4,26,6,19,
Apr-89,15,3,7,34,5,28,3,27,7,19,
May-89,21,4,9,35,7,35,4,39,6,21,
Jun-89,8,3,8,28,7,32,4,35,5,9,
Jul-89,12,3,6,29,7,31,3,32,8,16,
Aug-89,16,2,10,31,10,33,4,38,4,33,
Sep-89,11,1,7,29,10,29,4,27,4,19,
Oct-89,6,1,8,41,10,36,4,28,7,19,
Nov-89,5,2,12,43,8,47,5,25,5,16,
Dec-89,4,1,8,37,5,35,4,18,4,19,
Jan-90,32,2,9,43,5,43,5,27,7,24,
Feb-90,9,1,8,35,6,35,3,22,4,17,
Mar-90,20,2,9,36,7,32,4,30,5,24,
Apr-90,8,1,7,35,8,29,4,25,5,13,
May-90,11,3,11,36,8,35,5,31,10,33,
Jun-90,6,2,10,30,8,29,5,28,6,14,
Jul-90,6,1,10,32,9,30,5,29,3,23,
Aug-90,13,2,10,33,12,29,6,31,6,27,
Sep-90,7,1,8,31,12,28,6,25,5,23,
Oct-90,4,3,12,40,11,31,6,31,6,16,
Nov-90,3,6,11,43,9,34,7,19,6,36,
Dec-90,2,4,10,44,6,33,5,18,6,28,
Jan-91,13,3,10,45,7,35,6,31,4,31,
Feb-91,7,4,11,34,6,30,3,25,5,23,
Mar-91,8,4,11,33,7,30,4,24,3,28,
Apr-91,2,3,10,38,8,36,5,25,6,33,
May-91,6,4,10,39,9,34,5,30,6,25,
Jun-91,2,4,11,34,8,33,4,22,11,22,
Jul-91,4,4,12,35,10,33,4,28,8,22,
Aug-91,9,3,12,37,12,37,5,27,7,15,
Sep-91,4,2,10,35,11,35,4,25,9,18,
Oct-91,2,3,12,40,11,40,6,31,10,21,
Nov-91,3,3,12,42,11,44,5,24,5,40,
Dec-91,2,3,12,41,8,46,6,18,11,50,
Jan-92,13,4,12,45,7,43,6,29,7,15,
Feb-92,5,3,10,38,7,42,4,26,8,13,
Mar-92,4,3,10,44,8,45,5,27,5,30,
Apr-92,5,5,12,40,10,37,6,25,6,26,
May-92,5,5,12,42,9,33,5,22,7,24,
Jun-92,4,4,10,36,9,34,5,27,7,32,
Jul-92,1,3,15,36,11,35,6,30,5,29,
Aug-92,9,2,12,28,15,32,5,31,5,32,
Sep-92,6,2,13,32,15,37,7,33,4,34,
Oct-92,3,3,15,40,17,46,8,34,6,43,
Nov-92,2,3,14,50,12,44,7,21,5,33,
Dec-92,2,2,17,52,11,47,9,23,5,27,
Jan-93,3,2,10,41,9,39,7,30,8,29,
Feb-93,8,3,12,42,9,37,6,26,5,28,
Mar-93,10,3,15,50,11,40,6,31,8,36,
Apr-93,6,3,13,47,9,38,6,26,6,30,
May-93,3,3,13,43,9,38,5,28,5,31,
Jun-93,6,3,11,39,9,37,5,25,5,36,
Jul-93,7,4,16,41,13,41,7,31,8,38,
Aug-93,6,3,13,39,15,43,6,33,10,36,
Sep-93,5,3,12,34,16,41,6,32,10,43,
Oct-93,2,6,16,45,15,48,6,40,8,33,
Nov-93,3,3,13,57,13,51,7,30,7,39,
Dec-93,6,3,15,60,11,48,6,26,7,43,
Jan-94,11,3,13,42,10,39,4,31,10,41,
Feb-94,5,4,10,40,8,38,5,28,5,33,
Mar-94,14,4,13,49,11,46,6,34,16,34,
Apr-94,4,4,13,48,9,37,5,33,8,29,
May-94,8,5,12,46,11,44,5,35,7,35,
Jun-94,6,3,14,40,10,40,5,30,6,38,
Jul-94,4,2,13,42,12,40,5,38,11,45,
Aug-94,10,3,15,42,15,39,7,43,9,27,
Sep-94,4,2,13,42,13,37,8,39,9,40,
Oct-94,5,4,20,51,17,46,9,47,9,36,
Nov-94,4,4,12,67,13,48,8,45,7,47,
Dec-94,6,4,13,73,19,50,8,34,10,41,
Jan-95,27,4,10,54,31,53,10,47,14,46,
Feb-95,7,3,14,48,17,47,6,48,9,33,
Mar-95,12,6,15,55,12,45,7,42,9,46,
Apr-95,10,4,13,40,11,39,5,38,7,23,
May-95,7,6,16,52,15,46,7,42,7,41,
Jun-95,6,4,20,42,33,43,7,44,9,26,
Jul-95,5,6,17,41,24,45,7,47,12,53,
Aug-95,8,4,16,48,16,47,7,50,7,41,
Sep-95,5,3,15,49,15,46,8,45,10,44,
Oct-95,5,4,16,51,15,46,8,51,7,57,
Nov-95,7,3,17,58,18,55,9,38,8,48,
Dec-95,7,4,16,60,11,63,7,33,5,39,
Jan-96,24,4,16,57,13,65,7,46,8,52,
Feb-96,6,5,16,55,10,52,6,39,6,32,
Mar-96,7,4,19,48,10,43,7,38,6,27,
Apr-96,10,3,13,47,10,47,7,37,6,46,
May-96,6,5,17,46,12,43,8,45,7,40,
Jun-96,4,3,15,40,12,38,5,34,12,40,
Jul-96,7,5,16,50,15,51,8,46,11,53,
Aug-96,8,4,18,46,20,50,8,47,8,55,
Sep-96,4,5,16,44,17,42,7,38,8,36,
Oct-96,7,8,20,57,20,58,10,43,13,43,
Nov-96,4,6,17,55,14,53,7,39,12,34,
Dec-96,5,4,18,60,12,55,7,32,8,69,
Jan-97,21,5,17,51,12,56,7,47,9,53,
Feb-97,8,7,12,51,11,51,6,38,9,45,
Mar-97,15,7,14,50,12,41,5,40,8,42,
Apr-97,9,7,14,51,15,45,7,47,9,37,
May-97,8,5,14,47,16,46,7,42,19,28,
Jun-97,7,4,18,43,14,40,6,42,9,48,
Jul-97,7,5,17,50,21,45,9,53,14,55,
Aug-97,7,5,17,42,20,41,9,56,13,73,
Sep-97,9,5,15,53,19,45,9,53,10,45,
Oct-97,5,7,20,58,27,56,10,64,11,49,
Nov-97,20,6,15,64,18,58,8,53,8,56,
Dec-97,4,6,20,71,19,66,7,47,15,48,
Jan-98,21,4,16,62,15,57,8,51,20,38,
Feb-98,10,5,16,56,14,49,5,50,9,58,
Mar-98,9,5,22,67,16,51,7,61,13,52,
Apr-98,16,4,18,55,14,46,6,49,14,40,
May-98,9,4,19,55,16,50,10,54,10,52,
Jun-98,6,6,24,59,20,58,8,62,13,60,
Jul-98,8,5,16,57,22,57,8,63,12,50,
Aug-98,16,3,18,50,21,51,9,56,15,58,
Sep-98,5,4,18,53,25,57,11,61,15,67,
Oct-98,3,6,24,61,25,56,12,67,10,71,
Nov-98,11,8,23,73,22,64,11,59,13,67,
Dec-98,6,5,25,81,20,70,9,45,11,70,
Jan-99,6,6,20,57,17,68,9,53,7,50,
Feb-99,23,6,24,63,17,56,6,51,15,57,
Mar-99,13,9,27,75,18,63,9,57,13,45,
Apr-99,9,6,24,60,19,57,7,51,10,48,
May-99,15,7,22,57,19,51,7,49,13,56,
Jun-99,8,8,24,59,20,64,8,51,10,46,
Jul-99,5,7,21,60,20,61,8,55,12,69,
Aug-99,19,5,20,59,24,58,8,47,9,79,
Sep-99,9,8,22,54,25,54,10,55,16,55,
Oct-99,3,8,24,71,22,59,12,53,13,66,
Nov-99,6,14,23,84,26,75,12,58,13,62,
Dec-99,9,14,23,80,26,76,10,50,13,60,
Jan-00,10,14,20,64,20,61,9,49,11,55,
Feb-00,24,20,23,63,19,62,7,49,17,69,
Mar-00,9,18,21,69,20,58,10,56,16,61,
Apr-00,13,20,21,52,18,52,7,41,11,62,
May-00,9,18,26,64,23,60,9,52,11,64,
Jun-00,11,8,23,61,22,60,8,44,10,46,
Jul-00,2,10,24,68,28,60,8,50,11,85,
Aug-00,7,9,24,72,30,63,11,58,14,76,
Sep-00,1,11,19,60,29,53,12,54,9,73,
Oct-00,2,12,26,69,32,65,13,58,13,78,
Nov-00,4,12,29,80,31,77,12,47,14,64,
Dec-00,5,10,21,81,24,73,12,44,15,94,
Jan-01,5,11,27,69,22,73,9,42,21,61,
Feb-01,15,13,31,65,20,62,8,40,12,67,
Mar-01,6,14,26,87,23,64,9,48,16,82,
Apr-01,7,12,24,74,23,60,10,48,16,72,
May-01,3,8,27,73,22,64,10,52,21,68,
Jun-01,4,10,27,72,20,62,10,51,19,67,
Jul-01,7,12,23,71,25,66,10,55,15,86,
Aug-01,5,12,23,76,33,63,14,60,19,85,
Sep-01,4,19,27,64,27,56,11,51,12,79,
Oct-01,2,22,31,90,33,74,15,61,27,111,
Nov-01,7,21,34,91,28,79,12,54,29,73,
Dec-01,3,21,28,73,23,75,10,42,29,67,
Jan-02,10,23,25,75,21,76,12,54,16,89,
Feb-02,12,25,27,75,19,69,11,49,28,85,
Mar-02,5,27,25,73,19,67,9,50,30,68,
Apr-02,5,20,22,71,21,65,11,51,17,79,
May-02,5,15,22,67,23,68,11,52,27,85,
Jun-02,8,18,24,63,19,63,9,46,23,57,
Jul-02,7,12,25,63,26,73,15,58,29,81,
Aug-02,12,13,24,73,34,68,17,60,34,85,
Sep-02,5,15,25,73,29,67,14,60,22,82,
Oct-02,1,15,25,92,36,74,17,66,20,87,
Nov-02,4,17,27,96,29,83,13,60,31,75,
Dec-02,11,19,25,97,26,96,12,60,25,94,
Jan-03,11,16,26,76,45,98,15,57,26,101,
Feb-03,17,13,26,69,30,77,11,53,27,84,
Mar-03,3,23,34,83,34,69,16,57,36,74,
Apr-03,14,23,33,83,44,73,21,60,46,76,
May-03,4,18,26,74,25,72,17,53,15,90,
Jun-03,4,18,26,74,34,73,15,54,19,86,
Jul-03,6,17,21,70,31,82,15,60,24,80,
Aug-03,8,14,16,68,33,73,15,53,14,89,
Sep-03,4,16,21,81,35,72,17,55,23,113,
Oct-03,1,25,30,93,39,79,19,65,25,96,
Nov-03,4,23,29,90,28,81,14,49,29,72,
Dec-03,6,28,31,88,31,108,17,54,26,88,
Jan-04,13,19,22,65,26,89,13,49,24,87,
Feb-04,7,24,27,58,24,72,12,45,13,71,
Mar-04,4,23,34,79,27,77,14,55,25,89,
Apr-04,4,20,28,75,27,76,12,48,24,82,
May-04,6,21,33,68,24,83,12,49,16,99,
Jun-04,2,22,28,71,31,87,15,54,18,94,
Jul-04,2,27,27,72,36,90,15,59,32,91,
Aug-04,11,27,29,77,40,93,15,64,17,80,
Sep-04,4,23,31,82,37,84,16,65,28,96,
Oct-04,2,26,29,92,38,95,17,63,17,107,
Nov-04,5,23,31,95,36,106,18,61,27,99,
Dec-04,6,30,35,86,35,109,15,59,26,96,
Jan-05,7,29,31,76,31,92,12,58,19,114,
Feb-05,25,30,31,77,30,80,13,51,13,87,
Mar-05,10,39,33,83,31,86,15,55,29,77,
Apr-05,5,41,33,74,31,82,13,58,23,116,
May-05,3,43,29,74,30,86,14,55,22,81,
Jun-05,4,36,33,72,31,94,14,64,21,94,
Jul-05,3,15,31,66,35,92,15,63,29,91,
Aug-05,12,23,31,83,46,94,19,74,31,101,
Sep-05,3,25,34,85,44,94,19,72,17,107,
Oct-05,4,21,31,90,36,90,16,63,23,102,
Nov-05,4,30,38,106,42,123,17,67,32,110,
Dec-05,14,32,39,101,38,113,15,60,27,92,
Jan-06,10,29,36,91,32,104,16,57,16,94,
Feb-06,20,23,34,77,28,89,11,54,26,94,
Mar-06,6,30,38,89,33,85,15,59,21,108,
Apr-06,7,36,39,78,34,85,11,52,27,109,
May-06,9,32,36,86,36,95,13,64,23,107,
Jun-06,16,28,32,79,40,90,14,59,30,95,
Jul-06,10,23,36,75,44,98,15,67,34,93,
Aug-06,13,27,33,89,52,104,18,81,39,99,
Sep-06,9,29,34,99,52,105,21,75,32,88,
Oct-06,6,35,38,117,53,116,18,74,42,109,
Nov-06,9,44,46,127,51,134,19,81,36,149,
Dec-06,9,46,38,125,43,134,16,73,31,95,
Jan-07,12,45,34,114,38,127,16,72,57,117,
Feb-07,20,41,38,109,35,108,13,60,34,125,
Mar-07,16,51,47,94,41,102,16,73,35,106,
Apr-07,11,49,32,78,40,108,15,70,51,112,
May-07,9,53,41,86,42,98,20,67,38,103,
Jun-07,7,37,31,74,41,99,19,63,36,92,
Jul-07,7,30,33,81,49,110,18,81,40,119,
Aug-07,7,31,38,97,65,131,21,99,45,120,
Sep-07,1,28,36,117,54,108,23,83,37,118,
Oct-07,3,30,40,105,58,130,25,82,38,107,
Nov-07,8,40,55,99,56,135,19,84,45,155,
