Code,Label,Year,Estimated resident population (no.),Population density (persons/km2),Estimated resident population - males (no.),Estimated resident population - females (no.),Median age - males (years),Median age - females (years),Median age - persons (years),Working age population (aged 15-64 years) (no.),Working age population (aged 15-64 years) (%),Males - 0-4 years (no.),Males - 5-9 years (no.),Males - 10-14 years (no.),Males - 15-19 years (no.),Males - 20-24 years (no.),Males - 25-29 years (no.),Males - 30-34 years (no.),Males - 35-39 years (no.),Males - 40-44 years (no.),Males - 45-49 years (no.),Males - 50-54 years (no.),Males - 55-59 years (no.),Males - 60-64 years (no.),Males - 65-69 years (no.),Males - 70-74 years (no.),Males - 75-79 years (no.),Males - 80-84 years (no.),Males - 85 and over (no.),Males - 0-4 years (%),Males - 5-9 years (%),Males - 10-14 years (%),Males - 15-19 years (%),Males - 20-24 years (%),Males - 25-29 years (%),Males - 30-34 years (%),Males - 35-39 years (%),Males - 40-44 years (%),Males - 45-49 years (%),Males - 50-54 years (%),Males - 55-59 years (%),Males - 60-64 years (%),Males - 65-69 years (%),Males - 70-74 years (%),Males - 75-79 years (%),Males - 80-84 years (%),Males - 85 and over (%),Females - 0-4 years (no.),Females - 5-9 years (no.),Females - 10-14 years (no.),Females - 15-19 years (no.),Females - 20-24 years (no.),Females - 25-29 years (no.),Females - 30-34 years (no.),Females - 35-39 years (no.),Females - 40-44 years (no.),Females - 45-49 years (no.),Females - 50-54 years (no.),Females - 55-59 years (no.),Females - 60-64 years (no.),Females - 65-69 years (no.),Females - 70-74 years (no.),Females - 75-79 years (no.),Females - 80-84 years (no.),Females - 85 and over (no.),Females - 0-4 years (%),Females - 5-9 years (%),Females - 10-14 years (%),Females - 15-19 years (%),Females - 20-24 years (%),Females - 25-29 years (%),Females - 30-34 years (%),Females - 35-39 years (%),Females - 40-44 years (%),Females - 45-49 years (%),Females - 50-54 years (%),Females - 55-59 years (%),Females - 60-64 years (%),Females - 65-69 years (%),Females - 70-74 years (%),Females - 75-79 years (%),Females - 80-84 years (%),Females - 85 and over (%),Persons - 0-4 years (no.),Persons - 5-9 years (no.),Persons - 10-14 years (no.),Persons - 15-19 years (no.),Persons - 20-24 years (no.),Persons - 25-29 years (no.),Persons - 30-34 years (no.),Persons - 35-39 years (no.),Persons - 40-44 years (no.),Persons - 45-49 years (no.),Persons - 50-54 years (no.),Persons - 55-59 years (no.),Persons - 60-64 years (no.),Persons - 65-69 years (no.),Persons - 70-74 years (no.),Persons - 75-79 years (no.),Persons - 80-84 years (no.),Persons - 85 and over (no.),Persons - 0-4 years (%),Persons - 5-9 years (%),Persons - 10-14 years (%),Persons - 15-19 years (%),Persons - 20-24 years (%),Persons - 25-29 years (%),Persons - 30-34 years (%),Persons - 35-39 years (%),Persons - 40-44 years (%),Persons - 45-49 years (%),Persons - 50-54 years (%),Persons - 55-59 years (%),Persons - 60-64 years (%),Persons - 65-69 years (%),Persons - 70-74 years (%),Persons - 75-79 years (%),Persons - 80-84 years (%),Persons - 85 and over (%),Births (no.),Total fertility rate (births per female) (rate),Deaths (no.),Standardised death rate (per 1000 people) (rate),Internal arrivals (no.),Internal departures (no.),Net internal migration (no.),Overseas arrivals (no.),Overseas departures (no.),Net overseas migration (no.),Aboriginal and Torres Strait Islander Peoples (no.),Aboriginal and Torres Strait Islander Peoples (%),Born in Oceania and Antarctica (excluding Australia) (%),Born in North-West Europe (%),Born in Southern and Eastern Europe (%),Born in North Africa and the Middle East (%),Born in South-East Asia (%),Born in North-East Asia (%),Born in Southern and Central Asia (%),Born in Americas (%),Born in Sub-Saharan Africa (%),Total born overseas (no.),Total born overseas (%),Buddhism (%),Christianity (%),Hinduism (%),Islam (%),Judaism (%),Other religions (%),"Secular beliefs, other spiritual beliefs or no religion (%)",Religious affiliation inadequately described or not stated (%),Australian citizen (no.),Not an Australian citizen (no.),Australian citizenship not stated (no.),Australian citizen (%),Not an Australian citizen (%),Australian citizenship not stated (%),Speaks a language other than English at home (no.),Speaks a language other than English at home (%),Currently serving in the Australian Defence Force (no.),Previously served in the Australian Defence Force (no.),Currently serving in the Australian Defence Force (%),Previously served in the Australian Defence Force (%)
10102,Queanbeyan,2011,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1388,2.6,-,-,-,-,-,-,-,-,-,-,-,0.9,66.4,0.7,0.9,0.1,0.8,21.5,8.7,47877,2578,3059,89.5,4.8,5.7,6042,11.3,-,-,-,-
10102,Queanbeyan,2016,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,708,1.86,265,5.3,-,-,-,-,-,-,1755,3.1,1.9,5,3.5,0.4,1.6,0.6,2.4,1,0.7,9828,17.1,0.8,56.5,1.2,1.1,0.1,1.1,29.2,10,49855,3078,4391,87,5.4,7.7,6852,12,-,-,-,-
10102,Queanbeyan,2017,60371,9.3,30543,29828,37.2,37.7,37.5,41162,68.2,2161,2074,1941,1932,1860,2152,2215,1998,2173,2401,2298,2089,1657,1409,983,596,352,252,7.1,6.8,6.4,6.3,6.1,7,7.3,6.5,7.1,7.9,7.5,6.8,5.4,4.6,3.2,2,1.2,0.8,1994,1924,1851,1826,1813,2188,2194,2038,2089,2414,2242,1979,1604,1304,946,632,383,407,6.7,6.5,6.2,6.1,6.1,7.3,7.4,6.8,7,8.1,7.5,6.6,5.4,4.4,3.2,2.1,1.3,1.4,4155,3998,3792,3758,3673,4340,4409,4036,4262,4815,4540,4068,3261,2713,1929,1228,735,659,6.9,6.6,6.3,6.2,6.1,7.2,7.3,6.7,7.1,8,7.5,6.7,5.4,4.5,3.2,2,1.2,1.1,836,1.92,310,5.5,4375,4217,158,751,287,464,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10102,Queanbeyan,2018,61546,9.5,31251,30295,37.1,37.5,37.3,41900,68.1,2207,2080,1967,1926,1939,2252,2341,2109,2113,2427,2295,2145,1742,1376,1036,657,377,262,7.1,6.7,6.3,6.2,6.2,7.2,7.5,6.7,6.8,7.8,7.3,6.9,5.6,4.4,3.3,2.1,1.2,0.8,2047,1941,1878,1803,1826,2268,2286,2117,2053,2376,2251,2019,1612,1349,988,652,428,401,6.8,6.4,6.2,6,6,7.5,7.5,7,6.8,7.8,7.4,6.7,5.3,4.5,3.3,2.2,1.4,1.3,4254,4021,3845,3729,3765,4520,4627,4226,4166,4803,4546,4164,3354,2725,2024,1309,805,663,6.9,6.5,6.2,6.1,6.1,7.3,7.5,6.9,6.8,7.8,7.4,6.8,5.4,4.4,3.3,2.1,1.3,1.1,899,1.93,264,5.2,5051,4872,179,735,319,416,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10102,Queanbeyan,2019,62733,9.6,31927,30806,36.9,37.5,37.2,42594,67.9,2240,2109,2029,1900,2005,2328,2445,2271,2051,2419,2277,2243,1755,1423,1085,667,396,284,7,6.6,6.4,6,6.3,7.3,7.7,7.1,6.4,7.6,7.1,7,5.5,4.5,3.4,2.1,1.2,0.9,2109,1929,1916,1769,1857,2321,2390,2196,2057,2316,2301,2038,1655,1363,1029,704,443,413,6.8,6.3,6.2,5.7,6,7.5,7.8,7.1,6.7,7.5,7.5,6.6,5.4,4.4,3.3,2.3,1.4,1.3,4349,4038,3945,3669,3862,4649,4835,4467,4108,4735,4578,4281,3410,2786,2114,1371,839,697,6.9,6.4,6.3,5.8,6.2,7.4,7.7,7.1,6.5,7.5,7.3,6.8,5.4,4.4,3.4,2.2,1.3,1.1,842,1.98,293,5.2,5367,5165,202,745,351,394,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10102,Queanbeyan,2020,63817,9.8,32494,31323,37,37.8,37.4,43112,67.6,2243,2164,2103,1886,1961,2300,2561,2388,2048,2378,2302,2279,1826,1471,1169,685,440,290,6.9,6.7,6.5,5.8,6,7.1,7.9,7.3,6.3,7.3,7.1,7,5.6,4.5,3.6,2.1,1.4,0.9,2162,1922,1936,1724,1769,2328,2527,2279,2086,2275,2340,2100,1755,1412,1087,724,472,425,6.9,6.1,6.2,5.5,5.6,7.4,8.1,7.3,6.7,7.3,7.5,6.7,5.6,4.5,3.5,2.3,1.5,1.4,4405,4086,4039,3610,3730,4628,5088,4667,4134,4653,4642,4379,3581,2883,2256,1409,912,715,6.9,6.4,6.3,5.7,5.8,7.3,8,7.3,6.5,7.3,7.3,6.9,5.6,4.5,3.5,2.2,1.4,1.1,848,1.93,264,4.8,5046,4666,380,665,396,269,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10102,Queanbeyan,2021,64850,10,33035,31815,37.4,38.2,37.8,43493,67.1,2239,2257,2204,1863,1838,2173,2658,2532,2087,2357,2369,2306,1932,1482,1238,736,456,308,6.8,6.8,6.7,5.6,5.6,6.6,8,7.7,6.3,7.1,7.2,7,5.8,4.5,3.7,2.2,1.4,0.9,2210,1984,1962,1670,1669,2287,2590,2388,2181,2222,2424,2135,1812,1427,1146,775,495,438,6.9,6.2,6.2,5.2,5.2,7.2,8.1,7.5,6.9,7,7.6,6.7,5.7,4.5,3.6,2.4,1.6,1.4,4449,4241,4166,3533,3507,4460,5248,4920,4268,4579,4793,4441,3744,2909,2384,1511,951,746,6.9,6.5,6.4,5.4,5.4,6.9,8.1,7.6,6.6,7.1,7.4,6.8,5.8,4.5,3.7,2.3,1.5,1.2,943,1.92,320,4.9,5483,4928,555,367,238,129,2238,3.5,1.9,4.5,3.1,0.4,1.9,0.6,3.7,1.1,0.8,11776,18.2,0.9,48.5,2.2,1.3,0.1,1.5,39,6.5,57726,4015,3048,89.1,6.2,4.7,8600,13.3,1745,2526,3.3,4.8
10102,Queanbeyan,2022,65707,10.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5191,5318,-127,707,348,359,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10103,Snowy Mountains,2011,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,381,2,-,-,-,-,-,-,-,-,-,-,-,0.8,65.4,0.2,0.2,0.1,0.4,20.9,12.1,16511,733,1691,87.2,3.9,8.9,981,5.2,-,-,-,-
10103,Snowy Mountains,2016,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,152,1.64,153,5.7,-,-,-,-,-,-,426,2.2,1.5,6.3,1.5,0.3,0.9,0.8,0.3,0.8,0.4,2483,12.8,0.9,55.7,0.1,0.4,0.1,0.4,30.3,12.2,16769,797,1800,86.6,4.1,9.3,1029,5.3,-,-,-,-
